compound,negative,neutral,positive,text
-0.891,0.265,0.685,0.05,"(CNN)The manhunt has ended for a gunman who opened fire at an off-campus homecoming party near Greenville, Texas, police said. 
Brandon Gonzales, 23, was arrested and charged Monday in connection with the shooting that left two dead and 14 others injured dur… [+2730 chars]"
-0.128,0.07,0.85,0.081,"A large tornado touched down in the northern part of Dallas late Sunday evening, causing numerous power outages and significant damage to homes, cars and businesses.
Around 10:30 p.m. CDT Sunday, the National Weather Service (NWS) in Fort Worth confirmed, vi… [+2638 chars]"
-0.5574,0.092,0.877,0.031,"(Reuters) - South Dakota has scheduled a rare execution on Monday for a man convicted of the 1992 stabbing death of a former co-worker at a doughnut shop, a sentence that rights advocates said was tainted by jurors who asked potentially homophobic questions.… [+1840 chars]"
-0.5719,0.087,0.913,0.0,"(Reuters) - A tornado plowed through parts of northern Dallas late on Sunday, knocking out power to more than 175,000 homes and businesses and delaying flights at regional airports, officials said.
The storm left a miles-long swath of destruction through Dal… [+1089 chars]"
-0.34,0.124,0.81,0.067,"Severe thunderstorms, including a few tornadoes, tore through the south-central United States Sunday night and will threaten the Deep South on Monday.
The necessary ingredients for thunderstorm development came together Sunday night as a cold front collided … [+3243 chars]"
0.4019,0.055,0.832,0.113,"(CNN)Atatiana Koquice Jefferson's brother said that he remains speechless two days after she was fatally shot by a police officer in her Fort Worth home.
""Slowly but surely, we are allowing ourselves to feel. It's been a lot,"" Adarius Carr, Jefferson's broth… [+4809 chars]"
0.0,0.0,1.0,0.0,"Posted: Nov 02, 2019 11:17 PM CDT
Updated: Nov 02, 2019 11:17 PM CDT"
0.7269,0.055,0.743,0.201,"Abstract
Sonodynamic therapy (SDT) has the advantages of high penetration, noninvasiveness and controllability, and is suitable for deepseated tumors. However, there is still a lack of effective sonosensitizers with high sensitivity, safety and penetration. … [+813 chars]"
0.0,0.0,1.0,0.0,"Posted: Oct 21, 2019 12:19 PM CDT
Updated: Oct 21, 2019 12:19 PM CDT"
0.0,0.0,1.0,0.0,"By Jeff Todd | November 4, 2019 at 4:58pm CDT"
-0.8225,0.166,0.792,0.042,"Breast cancer could be detected up to five years before there are any clinical signs of it, using a blood test that identifies the body's immune response to substances produced by tumour cells, according to new research presented at the 2019 NCRI Cancer Confe… [+4521 chars]"
0.0,0.0,1.0,0.0,"Tropical Storm Priscilla was short-lived because it formed on Sunday, Oct. 20 very close to the coast of western Mexico and made landfall that same day. NASA's Terra satellite provided a visible picture of the storm as it was making landfall.
On Oct. 20, a T… [+2138 chars]"
0.25,0.105,0.742,0.153,"Abstract
The combination of reactive oxygen species (ROS)involved photodynamic therapy (PDT) and chemodynamic therapy (CDT) holds great promise for enhancing ROSmediated cancer treatment. Herein, an in situ polymerized hollow mesoporous organosilica nanopart… [+1233 chars]"
0.25,0.105,0.742,0.153,"Abstract
The combination of reactive oxygen species (ROS)involved photodynamic therapy (PDT) and chemodynamic therapy (CDT) holds great promise for enhancing ROSmediated cancer treatment. Herein, an in situ polymerized hollow mesoporous organosilica nanopart… [+1233 chars]"
0.8555,0.0,0.793,0.207,"Posted: Oct 31, 2019 9:28 AM CDT
byEllis Eskew
The Montgomery Area Chamber of Commerce held a Diversity Dialogue.
The event is designed to help entrepreneurs develop a better understanding of economic development.
Successful business owners were placed on… [+712 chars]"
0.8625,0.0,0.696,0.304,"X
 CDT is a non-profit media site, and we need your support. Your contribution will help us provide more translations, breaking news, and other content you love."
0.25,0.105,0.742,0.153,"Abstract
The combination of reactive oxygen species (ROS)involved photodynamic therapy (PDT) and chemodynamic therapy (CDT) holds great promise for enhancing ROSmediated cancer treatment. Herein, an in situ polymerized hollow mesoporous organosilica nanopart… [+1209 chars]"
-0.9371,0.331,0.615,0.054,"Abstract
Fenton reactionbased chemodynamic therapy (CDT) has attracted considerable attention for tumor treatment, because the Fenton reaction can degrade endogenous H2O2 within the tumor to form reactive oxygen species (ROS) to kill cancer cells. The kineti… [+1081 chars]"
-0.9371,0.331,0.615,0.054,"Abstract
Fenton reactionbased chemodynamic therapy (CDT) has attracted considerable attention for tumor treatment, because the Fenton reaction can degrade endogenous H2O2 within the tumor to form reactive oxygen species (ROS) to kill cancer cells. The kineti… [+1092 chars]"
-0.9371,0.331,0.615,0.054,"Abstract
Fenton reactionbased chemodynamic therapy (CDT) has attracted considerable attention for tumor treatment, because the Fenton reaction can degrade endogenous H2O2 within the tumor to form reactive oxygen species (ROS) to kill cancer cells. The kineti… [+1092 chars]"
