compound,negative,neutral,positive,text
0.6597,0.0,0.881,0.119,"Scientists at the Large Hadron Collider triumphantly announced the discovery of the Higgs boson back in the summer of 2012. Nicknamed the God particle, it was the last new undiscoveredparticle predicted by the backbone theory of particle physics.
Since then,… [+17612 chars]"
-0.6124,0.119,0.881,0.0,"Image copyrightCourtesy: Nariman QureshiImage caption
 Nariman Qureshi's daughter Anya is one of the victims of Lahore's pollution problem
When Nariman Qureshi returned to her home in Lahore after a week-long work trip in early November, she discovered her … [+6278 chars]"
0.6705,0.031,0.839,0.13,"The Large Hadron Collider is such a huge and sophisticated machine that the slightest alteration requires an enormous amount of work. During the second long shutdown (LS2), teams are hard at work reinforcing the electrical insulation of the accelerator's supe… [+1548 chars]"
0.0,0.086,0.828,0.086,"Image source: The Motley Fool.
Leo Holdings Corp. (NYSE:LHC)Q3 2019 Earnings CallNov 7, 2019, 9:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morning, ladies… [+39023 chars]"
-0.4404,0.091,0.909,0.0,"Image source: The Motley Fool.
LHC Group Inc (NASDAQ:LHCG)Q3 2019 Earnings CallNov 7, 2019, 9:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gentlemen, … [+69129 chars]"
0.0,0.0,1.0,0.0,"The European research center that runs the world's largest atom smasher says it has reappointed Italian physicist Fabiola Gianotti, its first woman chief, for a second five-year term.
CERN, the European Organization for Nuclear Research, says Gianotti's appo… [+1080 chars]"
0.0,0.0,1.0,0.0,"Chromophore assemblies within well-defined porous coordination polymers, such as metalorganic frameworks (MOFs), can emulate the functionality of the antenna rings of chlorophylls in light-harvesting complexes (LHCs). The chemical, electronic, and structural … [+1611 chars]"
0.3182,0.0,0.949,0.051,"Busy activity has returned to the CERN Control Centre (CCC), where the Operation group coordinates the current Linac4 test run, supported by the Accelerators and Beam Physics (ABP) group and all the involved equipment groups. As we write, the nominal 160 MeV … [+2471 chars]"
0.3818,0.062,0.802,0.136,"LHC Group (LHCG) came out with quarterly earnings of $1.26 per share, beating the Zacks Consensus Estimate of $1.08 per share. This compares to earnings of $0.95 per share a year ago. These figures are adjusted for non-recurring items.
This quarterly report … [+3136 chars]"
0.6486,0.0,0.89,0.11,"LHC Group Inc.s LHCG third-quarter 2019 adjusted earnings per share (EPS) of $1.26 beat the Zacks Consensus Estimate of $1.08 by 16.7% and improved 32.6% year over year.
The Zacks Rank #1 (Strong Buy) company reported revenues of $528.5 million in the quarte… [+4180 chars]"
0.8016,0.0,0.809,0.191,"Does the October share price for LHC Group, Inc. (NASDAQ:LHCG) reflect what it's really worth? Today, we will estimate the stock's intrinsic value by estimating the company's future cash flows and discounting them to their present value. I will use the Discou… [+6017 chars]"
0.9312,0.045,0.614,0.341,"Growth investors focus on stocks that are seeing above-average financial growth, as this feature helps these securities garner the market's attention and deliver solid returns. However, it isn't easy to find a great growth stock.
By their very nature, these … [+3555 chars]"
0.6908,0.049,0.78,0.171,"It's only natural that many investors, especially those who are new to the game, prefer to buy shares in 'sexy' stocks with a good story, even if those businesses lose money. But as Warren Buffett has mused, 'If you've been playing poker for half an hour and … [+4610 chars]"
0.7506,0.0,0.844,0.156,"A Pakistani court on Monday granted bail to Maryam Nawaz, the daughter of former prime minister Nawaz Sharif, in a money laundering case.
A two-member bench of the Lahore High Court headed by Justice Ali Baqar Najafi granted Maryam bail in the Chaudhry Sugar… [+1717 chars]"
0.765,0.0,0.811,0.189,"Growing: The Greater Baton Rouge Food Bank, Capitol City Produce, LSU and Southern University are partnering to create the Vince Ferachi Community Garden located on Commercial Avenue, which officially opens Monday, Nov. 11. The garden will provide fresh produ… [+1083 chars]"
0.9274,0.0,0.746,0.254,"ISLAMABAD: Chief Justice (CJ) Asif Saeed Khosa has summoned a meeting of Judicial Commission of Pakistan (JCP) on November 14 to consider the name of Justice Mamoon Rashid Sheikh as new Chief Justice Lahore High Court (LHC).
The incumbent LHC CJ Justice Sard… [+3356 chars]"
-0.2732,0.05,0.95,0.0,"The first measurement of the 
(
1
S
)
elliptic flow coefficient (v
2
) is performed at forward rapidity (2.5
&lt;
y
&lt;
4
) in PbPb collisions at s
NN
=
5.02
TeV
with the ALICE detector at the LHC. The results are obtained with the scalar pr… [+1139 chars]"
0.0,0.0,1.0,0.0,"LAFAYETTE Nov 10, 2019 (Thomson StreetEvents) -- Edited Transcript of LHC Group Inc earnings conference call or presentation Thursday, November 7, 2019 at 2:00:00pm GMT===========================================================================================… [+80477 chars]"
0.4767,0.0,0.907,0.093,"Maryam Nawaz. PHOTO: AFP 
LAHORE: The Lahore High Court (LHC) on Thursday reserved its verdict on Pakistan Muslim League-Nawaz (PML-N) leader Maryam Nawazs application to grant her bail in the Chaudhary Sugar Mills (CSM) case.
The decision on Maryam Nawaz’s… [+1137 chars]"
